"""content""","""contenttype""","""created""","""id""","""language"""
b'\xc2\xbfQu\xc3\xa9 hay detr\xc3\xa1s de las joyas de TOUS? https://t.co/lBI2NF57yE',"""text/plain""",1579895062,1.22079E+18,"""es"""
"b'@JRFernandez17 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por la\xe2\x80\xa6 https://t.co/bi67oyQCsA'","""text/plain""",1579889626,1.22077E+18,"""es"""
b'\xc2\xbfQu\xc3\xa9 es el electroforming? Utilizamos esta t\xc3\xa9cnica en el 10% de la producci\xc3\xb3n total de nuestras piezas. El 90% rest\xe2\x80\xa6 https://t.co/voUlVzsGbY',"""text/plain""",1579888858,1.22077E+18,"""es"""
"b'@SergeyTokarev12 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/GLRDcowCO8'","""text/plain""",1579887899,1.22076E+18,"""es"""
"b'@fabriziorosania @ASOC_ES_JOYEROS @BrandsofSpain @CJorgc Nuestras joyas son de oro y plata de primera ley, cumplen\xe2\x80\xa6 https://t.co/ht4VNRerPZ'","""text/plain""",1579885529,1.22075E+18,"""es"""
"b'@Tarabenespiral @LaVanguardia Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n cert\xe2\x80\xa6 https://t.co/UPCFGoUw2o'","""text/plain""",1579885442,1.22075E+18,"""es"""
"b'@moskaloca Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labora\xe2\x80\xa6 https://t.co/KwOWjW9WWm'","""text/plain""",1579885145,1.22075E+18,"""es"""
"b'El milenario oficio de la joyer\xc3\xada est\xc3\xa1 sometido a elevados est\xc3\xa1ndares de certificaci\xc3\xb3n y calidad. Estos d\xc3\xadas, las o\xe2\x80\xa6 https://t.co/a29xjkLBzi'","""text/plain""",1579879225,1.22073E+18,"""es"""
b'La Asociaci\xc3\xb3n para la Defensa de la Marca (@andema_es) tambi\xc3\xa9n se posiciona a favor de nuestra compa\xc3\xb1\xc3\xada. Desde TOUS\xe2\x80\xa6 https://t.co/kT2OaqIZUZ',"""text/plain""",1579808325,1.22043E+18,"""es"""
"b'Tras las muestras de apoyo de @ASOC_ES_JOYEROS y @BrandsofSpain, nuevas instituciones manifiestan su total confianz\xe2\x80\xa6 https://t.co/HNnrElSNLl'","""text/plain""",1579808298,1.22043E+18,"""es"""
b'Hace m\xc3\xa1s de 25 a\xc3\xb1os empezamos a utilizar el electroforming para crear joyas de mayor volumen y a la vez ligeras y s\xe2\x80\xa6 https://t.co/s1lmc2D5mH',"""text/plain""",1579790012,1.22035E+18,"""es"""
"b'@leiilaaa03 Buenos d\xc3\xadas @leiilaaa0, lamentamos lo que nos comentas. Para poder gestionar tu consulta personalmente\xe2\x80\xa6 https://t.co/r089ejoh2Y'","""text/plain""",1579786862,1.22034E+18,"""es"""
"b'@jasminasg @rosatous Buenos d\xc3\xadas @jasminasg, gracias por escribirnos. Sentimos mucho lo que nos comentas. Para pode\xe2\x80\xa6 https://t.co/QANr2hToqr'","""text/plain""",1579786195,1.22034E+18,"""es"""
"b'El Foro de Marcas Renombradas Espa\xc3\xb1olas (@BrandsofSpain) muestra su apoyo a la firma y ""conf\xc3\xada en el buen hacer de\xe2\x80\xa6 https://t.co/iJwuBPSnbC'","""text/plain""",1579777738,1.2203E+18,"""es"""
"b'En TOUS siempre hemos cumplido con la ley. Seguiremos trabajando para preservar nuestros valores: honradez, transpa\xe2\x80\xa6 https://t.co/gqHicbwoTU'","""text/plain""",1579776386,1.2203E+18,"""es"""
b'RT @BrandsofSpain: \xf0\x9f\x93\x84Comunicado de la Asociaci\xc3\xb3n de Marcas Renombradas Espa\xc3\xb1olas sobre @tousjewelry  https://t.co/Q9Eeh0L6kQ',"""text/plain""",1579775284,1.22029E+18,"""es"""
"b'RT @EspejoPublico: \xf0\x9f\x93\x9eAL TEL\xc3\x89FONO| Hablamos con Rosa Tous, vicepresidenta corporativa de @tousjewelry, tras la citaci\xc3\xb3n en la Audiencia  Naci\xe2\x80\xa6'","""text/plain""",1579774123,1.22029E+18,"""es"""
"b'@SasshaSupper @SoniaMa89708466 @eneatipo6 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n\xe2\x80\xa6 https://t.co/j5dNQRiFAj'","""text/plain""",1579718848,1.22006E+18,"""es"""
"b'@felgal2 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por laborato\xe2\x80\xa6 https://t.co/TygOvJ0yUl'","""text/plain""",1579718716,1.22005E+18,"""es"""
"b'@MiguelAGBatista Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/ACQzCoFZYE'","""text/plain""",1579718648,1.22005E+18,"""es"""
"b'@mar_de_hierba @funnycow @el_pais Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n\xe2\x80\xa6 https://t.co/deRc63ocvy'","""text/plain""",1579718523,1.22005E+18,"""es"""
"b'@JMConfucio Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labor\xe2\x80\xa6 https://t.co/MJU9RXeO4B'","""text/plain""",1579718438,1.22005E+18,"""es"""
"b'@HadaEslava @sopitas Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas\xe2\x80\xa6 https://t.co/q41I3oiBkY'","""text/plain""",1579718352,1.22005E+18,"""es"""
"b'@Luis99844053 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/oPiPCeuRiZ'","""text/plain""",1579718282,1.22005E+18,"""es"""
"b'@maribeella Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labor\xe2\x80\xa6 https://t.co/AadBUXMaqv'","""text/plain""",1579717947,1.22005E+18,"""es"""
"b'@Kokeshi35649248 @ASOC_ES_JOYEROS Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n\xe2\x80\xa6 https://t.co/iVOCfMuDxb'","""text/plain""",1579717100,1.22005E+18,"""es"""
"b'@RafaMartinTV Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/7C7sxkvVYK'","""text/plain""",1579710893,1.22002E+18,"""es"""
"b'@SasshaSupper @SoniaMa89708466 @eneatipo6 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n\xe2\x80\xa6 https://t.co/9rwMpEr57W'","""text/plain""",1579710527,1.22002E+18,"""es"""
"b'@SoniaMa89708466 @annariusoficial Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n\xe2\x80\xa6 https://t.co/7sBahkzla4'","""text/plain""",1579710366,1.22002E+18,"""es"""
"b'@PsicoSapere Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labo\xe2\x80\xa6 https://t.co/tGmsHrctOM'","""text/plain""",1579710255,1.22002E+18,"""es"""
"b'@yosoilu @Buenafuente @LateMotivCero @picuetin Nuestras joyas son de oro y plata de primera ley, cumplen la legisla\xe2\x80\xa6 https://t.co/FekqHpV6MY'","""text/plain""",1579710169,1.22002E+18,"""es"""
"b'@cuadernodeuncur @ASOC_ES_JOYEROS Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n\xe2\x80\xa6 https://t.co/8mgCHVPeMu'","""text/plain""",1579710076,1.22002E+18,"""es"""
"b'@Vilarhome @D3ckard____ Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificad\xe2\x80\xa6 https://t.co/J9BsPZTlHe'","""text/plain""",1579709926,1.22002E+18,"""es"""
"b'@HantonioEgo @Jalop72 @elmundoes Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n c\xe2\x80\xa6 https://t.co/1K1cI2KueZ'","""text/plain""",1579709835,1.22002E+18,"""es"""
"b'@yasywa @ASOC_ES_JOYEROS Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certifica\xe2\x80\xa6 https://t.co/u3S2hkLGLs'","""text/plain""",1579709648,1.22002E+18,"""es"""
"b'@puntpetit Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labora\xe2\x80\xa6 https://t.co/Rfz0MINcDD'","""text/plain""",1579709465,1.22002E+18,"""es"""
"b'@Eleniita_mf @ASOC_ES_JOYEROS @facua @consumidores Nuestras joyas son de oro y plata de primera ley, cumplen la leg\xe2\x80\xa6 https://t.co/XLzYCEdyRA'","""text/plain""",1579709063,1.22001E+18,"""es"""
"b'@skonopczyk @ASOC_ES_JOYEROS Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certi\xe2\x80\xa6 https://t.co/Z371qaZwm9'","""text/plain""",1579708453,1.22001E+18,"""es"""
"b'@juana_luco42 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/nMj3FSNLue'","""text/plain""",1579708013,1.22001E+18,"""es"""
"b'@alseidekawaii @Quesobola2 Buenos d\xc3\xadas, gracias por escribirnos. Lamentamos lo que nos comentas. Para poder gestion\xe2\x80\xa6 https://t.co/bZzzQPE4AD'","""text/plain""",1579707710,1.22001E+18,"""es"""
